	kbest_log_reg	kbest_r_forest	kbest_g_boost	sfm_log_reg	sfm_r_forest	sfm_g_boost	right_pred	true_y
22	NO	NO	NO	NO	NO	NO	6	NO
123	NO	NO	NO	NO	NO	NO	6	NO
191	NO	NO	NO	NO	NO	NO	6	NO
211	NO	NO	NO	NO	NO	NO	6	NO
213	NO	NO	NO	NO	NO	NO	6	NO
321	NO	NO	NO	NO	NO	NO	6	NO
353	NO	NO	NO	NO	NO	NO	6	NO
32	NO	NO	NO	NO	NO	NO	6	NO
53	NO	NO	NO	NO	NO	NO	6	NO
122	NO	NO	NO	NO	NO	NO	6	NO
124	NO	NO	NO	NO	NO	NO	6	NO
125	NO	NO	NO	NO	NO	NO	6	NO
146	NO	NO	NO	NO	NO	NO	6	NO
167	NO	NO	NO	NO	NO	NO	6	NO
172	NO	NO	NO	NO	NO	NO	6	NO
175	NO	NO	NO	NO	NO	NO	6	NO
179	NO	NO	NO	NO	NO	NO	6	NO
192	NO	NO	NO	NO	NO	NO	6	NO
317	NO	NO	NO	NO	NO	NO	6	NO
16	NO	NO	NO	NO	NO	NO	6	NO
51	NO	NO	NO	NO	NO	NO	6	NO
117	NO	NO	NO	NO	NO	NO	6	NO
121	NO	NO	NO	NO	NO	NO	6	NO
133	NO	NO	NO	NO	NO	NO	6	NO
134	NO	NO	NO	NO	NO	NO	6	NO
137	NO	NO	NO	NO	NO	NO	6	NO
143	NO	NO	NO	NO	NO	NO	6	NO
193	NO	NO	NO	NO	NO	NO	6	NO
195	NO	NO	NO	NO	NO	NO	6	NO
197	NO	NO	NO	NO	NO	NO	6	NO
198	NO	NO	NO	NO	NO	NO	6	NO
209	NO	NO	NO	NO	NO	NO	6	NO
323	NO	NO	NO	NO	NO	NO	6	NO
19	NO	NO	NO	NO	NO	NO	6	NO
87	NO	NO	NO	NO	NO	NO	6	NO
91	NO	NO	NO	NO	NO	NO	6	NO
115	NO	NO	NO	NO	NO	NO	6	NO
132	NO	NO	NO	NO	NO	NO	6	NO
135	NO	NO	NO	NO	NO	NO	6	NO
136	NO	NO	NO	NO	NO	NO	6	NO
168	NO	NO	NO	NO	NO	NO	6	NO
222	NO	NO	NO	NO	NO	NO	6	NO
251	NO	NO	NO	NO	NO	NO	6	NO
263	NO	NO	NO	NO	NO	NO	6	NO
271	NO	NO	NO	NO	NO	NO	6	NO
281	NO	NO	NO	NO	NO	NO	6	NO
311	NO	NO	NO	NO	NO	NO	6	NO
345	NO	NO	NO	NO	NO	NO	6	NO
18	NO	NO	NO	NO	NO	NO	6	NO
52	NO	NO	NO	NO	NO	NO	6	NO
55	NO	NO	NO	NO	NO	NO	6	NO
57	NO	NO	NO	NO	NO	NO	6	NO
161	NO	NO	NO	NO	NO	NO	6	NO
178	NO	NO	NO	NO	NO	NO	6	NO
258	NO	NO	NO	NO	NO	NO	6	NO
264	NO	NO	NO	NO	NO	NO	6	NO
24	NO	NO	NO	NO	NO	NO	6	NO
73	NO	NO	NO	NO	NO	NO	6	NO
80	NO	NO	NO	NO	NO	NO	6	NO
83	NO	NO	NO	NO	NO	NO	6	NO
104	NO	NO	NO	NO	NO	NO	6	NO
109	NO	NO	NO	NO	NO	NO	6	NO
110	NO	NO	NO	NO	NO	NO	6	NO
139	NO	NO	NO	NO	NO	NO	6	NO
158	NO	NO	NO	NO	NO	NO	6	NO
169	NO	NO	NO	NO	NO	NO	6	NO
257	NO	NO	NO	NO	NO	NO	6	NO
273	NO	NO	NO	NO	NO	NO	6	NO
285	NO	NO	NO	NO	NO	NO	6	NO
322	NO	NO	NO	NO	NO	NO	6	NO
348	NO	NO	NO	NO	NO	NO	6	NO
15	NO	NO	NO	NO	NO	NO	6	NO
56	NO	NO	NO	NO	NO	NO	6	NO
66	NO	NO	NO	NO	NO	NO	6	NO
71	NO	NO	NO	NO	NO	NO	6	NO
86	NO	NO	NO	NO	NO	NO	6	NO
116	NO	NO	NO	NO	NO	NO	6	NO
120	NO	NO	NO	NO	NO	NO	6	NO
127	NO	NO	NO	NO	NO	NO	6	NO
128	NO	NO	NO	NO	NO	NO	6	NO
138	NO	NO	NO	NO	NO	NO	6	NO
141	NO	NO	NO	NO	NO	NO	6	NO
159	NO	NO	NO	NO	NO	NO	6	NO
165	NO	NO	NO	NO	NO	NO	6	NO
176	NO	NO	NO	NO	NO	NO	6	NO
194	NO	NO	NO	NO	NO	NO	6	NO
221	NO	NO	NO	NO	NO	NO	6	NO
250	NO	NO	NO	NO	NO	NO	6	NO
260	NO	NO	NO	NO	NO	NO	6	NO
319	NO	NO	NO	NO	NO	NO	6	NO
327	NO	NO	NO	NO	NO	NO	6	NO
352	NO	NO	NO	NO	NO	NO	6	NO
13	NO	NO	NO	NO	NO	NO	6	NO
14	NO	NO	NO	NO	NO	NO	6	NO
20	NO	NO	NO	NO	NO	NO	6	NO
67	NO	NO	NO	NO	NO	NO	6	NO
89	NO	NO	NO	NO	NO	NO	6	NO
113	NO	NO	NO	NO	NO	NO	6	NO
130	NO	NO	NO	NO	NO	NO	6	NO
