	scaler_log_reg	scaler_r_forest	scaler_g_boost	right_pred	true_y
9	NO	NO	NO	3	NO
22	NO	NO	NO	3	NO
25	NO	NO	NO	3	NO
52	NO	NO	NO	3	NO
79	NO	NO	NO	3	NO
129	NO	NO	NO	3	NO
138	NO	NO	NO	3	NO
149	NO	NO	NO	3	NO
194	NO	NO	NO	3	NO
195	NO	NO	NO	3	NO
204	NO	NO	NO	3	NO
245	NO	NO	NO	3	NO
250	NO	NO	NO	3	NO
255	NO	NO	NO	3	NO
269	NO	NO	NO	3	NO
276	NO	NO	NO	3	NO
320	NO	NO	NO	3	NO
347	NO	NO	NO	3	NO
348	NO	NO	NO	3	NO
354	NO	NO	NO	3	NO
15	NO	NO	NO	3	NO
16	NO	NO	NO	3	NO
24	NO	NO	NO	3	NO
84	NO	NO	NO	3	NO
92	NO	NO	NO	3	NO
113	NO	NO	NO	3	NO
130	NO	NO	NO	3	NO
176	NO	NO	NO	3	NO
198	NO	NO	NO	3	NO
257	NO	NO	NO	3	NO
259	NO	NO	NO	3	NO
274	NO	NO	NO	3	NO
285	NO	NO	NO	3	NO
352	NO	NO	NO	3	NO
353	NO	NO	NO	3	NO
23	NO	NO	NO	3	NO
54	NO	NO	NO	3	NO
87	NO	NO	NO	3	NO
127	NO	NO	NO	3	NO
157	NO	NO	NO	3	NO
158	NO	NO	NO	3	NO
169	NO	NO	NO	3	NO
175	NO	NO	NO	3	NO
179	NO	NO	NO	3	NO
180	NO	NO	NO	3	NO
197	NO	NO	NO	3	NO
207	NO	NO	NO	3	NO
223	NO	NO	NO	3	NO
254	NO	NO	NO	3	NO
264	NO	NO	NO	3	NO
271	NO	NO	NO	3	NO
324	NO	NO	NO	3	NO
21	NO	NO	NO	3	NO
38	NO	NO	NO	3	NO
57	NO	NO	NO	3	NO
86	NO	NO	NO	3	NO
104	NO	NO	NO	3	NO
117	NO	NO	NO	3	NO
128	NO	NO	NO	3	NO
139	NO	NO	NO	3	NO
140	NO	NO	NO	3	NO
145	NO	NO	NO	3	NO
146	NO	NO	NO	3	NO
186	NO	NO	NO	3	NO
214	NO	NO	NO	3	NO
253	NO	NO	NO	3	NO
256	NO	NO	NO	3	NO
258	NO	NO	NO	3	NO
317	NO	NO	NO	3	NO
318	NO	NO	NO	3	NO
13	NO	NO	NO	3	NO
18	NO	NO	NO	3	NO
43	NO	NO	NO	3	NO
56	NO	NO	NO	3	NO
82	NO	NO	NO	3	NO
132	NO	NO	NO	3	NO
135	NO	NO	NO	3	NO
137	NO	NO	NO	3	NO
178	NO	NO	NO	3	NO
182	NO	NO	NO	3	NO
213	NO	NO	NO	3	NO
281	NO	NO	NO	3	NO
283	NO	NO	NO	3	NO
316	NO	NO	NO	3	NO
339	NO	NO	NO	3	NO
39	NO	NO	NO	3	NO
65	NO	NO	NO	3	NO
69	NO	NO	NO	3	NO
81	NO	NO	NO	3	NO
83	NO	NO	NO	3	NO
108	NO	NO	NO	3	NO
126	NO	NO	NO	3	NO
133	NO	NO	NO	3	NO
134	NO	NO	NO	3	NO
155	NO	NO	NO	3	NO
159	NO	NO	NO	3	NO
189	NO	NO	NO	3	NO
205	NO	NO	NO	3	NO
210	NO	NO	NO	3	NO
222	NO	NO	NO	3	NO
236	NO	NO	NO	3	NO
243	NO	NO	NO	3	NO
248	NO	NO	NO	3	NO
345	NO	NO	NO	3	NO
14	NO	NO	NO	3	NO
67	NO	NO	NO	3	NO
109	NO	NO	NO	3	NO
115	NO	NO	NO	3	NO
