	scaler_log_reg	scaler_r_forest	scaler_g_boost	right_pred	true_y
41	NO	NO	NO	3	NO
60	NO	NO	NO	3	NO
82	NO	NO	NO	3	NO
85	NO	NO	NO	3	NO
103	NO	NO	NO	3	NO
104	NO	NO	NO	3	NO
169	NO	NO	NO	3	NO
215	NO	NO	NO	3	NO
59	NO	NO	NO	3	NO
89	NO	NO	NO	3	NO
96	NO	NO	NO	3	NO
100	NO	NO	NO	3	NO
101	NO	NO	NO	3	NO
102	NO	NO	NO	3	NO
158	NO	NO	NO	3	NO
159	NO	NO	NO	3	NO
182	NO	NO	NO	3	NO
191	NO	NO	NO	3	NO
212	NO	NO	NO	3	NO
19	NO	NO	NO	3	NO
39	NO	NO	NO	3	NO
78	NO	NO	NO	3	NO
107	NO	NO	NO	3	NO
164	NO	NO	NO	3	NO
170	NO	NO	NO	3	NO
186	NO	NO	NO	3	NO
198	NO	NO	NO	3	NO
10	NO	NO	NO	3	NO
23	NO	NO	NO	3	NO
30	NO	NO	NO	3	NO
52	NO	NO	NO	3	NO
76	NO	NO	NO	3	NO
99	NO	NO	NO	3	NO
188	NO	NO	NO	3	NO
201	NO	NO	NO	3	NO
15	NO	NO	NO	3	NO
16	NO	NO	NO	3	NO
35	NO	NO	NO	3	NO
88	NO	NO	NO	3	NO
91	NO	NO	NO	3	NO
113	NO	NO	NO	3	NO
119	NO	NO	NO	3	NO
138	NO	NO	NO	3	NO
141	NO	NO	NO	3	NO
17	NO	NO	NO	3	NO
32	NO	NO	NO	3	NO
34	NO	NO	NO	3	NO
44	NO	NO	NO	3	NO
53	NO	NO	NO	3	NO
80	NO	NO	NO	3	NO
142	NO	NO	NO	3	NO
171	NO	NO	NO	3	NO
194	NO	NO	NO	3	NO
13	NO	NO	NO	3	NO
36	NO	NO	NO	3	NO
51	NO	NO	NO	3	NO
83	NO	NO	NO	3	NO
93	NO	NO	NO	3	NO
97	NO	NO	NO	3	NO
189	NO	NO	NO	3	NO
199	NO	NO	NO	3	NO
5	NO	NO	NO	3	NO
31	NO	NO	NO	3	NO
94	NO	NO	NO	3	NO
105	NO	NO	NO	3	NO
109	NO	NO	NO	3	NO
165	NO	NO	NO	3	NO
173	NO	NO	NO	3	NO
200	NO	NO	NO	3	NO
14	NO	NO	NO	3	NO
33	NO	NO	NO	3	NO
108	NO	NO	NO	3	NO
195	NO	NO	NO	3	NO
196	NO	NO	NO	3	NO
203	NO	NO	NO	3	NO
1	NO	NO	NO	3	NO
62	NO	NO	NO	3	NO
63	NO	NO	NO	3	NO
106	NO	NO	NO	3	NO
110	NO	NO	NO	3	NO
128	NO	NO	NO	3	NO
154	NO	NO	NO	3	NO
167	NO	NO	NO	3	NO
118	NO	NO	SI	2	NO
175	SI	NO	NO	2	NO
21	NO	SI	NO	2	NO
163	NO	NO	SI	2	NO
84	NO	NO	SI	2	NO
185	NO	NO	SI	2	NO
58	NO	NO	SI	2	NO
197	SI	NO	NO	2	NO
139	NO	NO	SI	2	NO
42	SI	NO	NO	2	NO
46	NO	NO	SI	2	NO
48	SI	NO	NO	2	NO
54	NO	SI	NO	2	NO
25	NO	SI	SI	1	NO
27	NO	SI	SI	1	NO
28	NO	SI	SI	1	NO
172	NO	SI	SI	1	NO
155	SI	NO	SI	1	NO
209	NO	SI	SI	1	NO
8	SI	NO	SI	1	NO
